id,class
0,5
1,4
2,16
3,4
4,5
5,5
6,15
7,17
8,3
9,13
10,8
11,2
12,5
13,13
14,15
15,18
16,9
17,9
18,3
19,14
20,9
21,11
22,9
23,9
24,2
25,15
26,3
27,15
28,4
29,19
30,14
31,3
32,5
33,15
34,14
35,5
36,13
37,14
38,3
39,13
40,18
41,18
42,14
43,15
44,3
45,2
46,17
47,14
48,18
49,6
50,5
51,1
52,5
53,9
54,3
55,19
56,6
57,19
58,15
59,4
60,8
61,13
62,14
63,12
64,9
65,6
66,3
67,10
68,10
69,15
70,14
71,15
72,17
73,1
74,3
75,1
76,14
77,13
78,3
79,3
80,12
81,1
82,3
83,11
84,3
85,11
86,1
87,18
88,14
89,2
90,1
91,8
92,11
93,11
94,6
95,8
96,13
97,14
98,1
99,11
100,3
101,14
102,12
103,13
104,1
105,18
106,13
107,17
108,10
109,18
110,10
111,4
112,19
113,7
114,10
115,14
116,14
117,3
118,17
119,19
120,13
121,8
122,19
123,8
124,11
125,1
126,15
127,8
128,6
129,6
130,18
131,15
132,10
133,10
134,12
135,17
136,15
137,17
138,3
139,15
140,14
141,11
142,11
143,10
144,13
145,1
146,5
147,2
148,15
149,4
150,1
151,17
152,12
153,1
154,4
155,15
156,14
157,12
158,14
159,17
160,2
161,15
162,9
163,3
164,14
165,14
166,1
167,9
168,1
169,9
170,10
171,18
172,14
173,11
174,12
175,8
176,6
177,18
178,4
179,9
180,9
181,8
182,3
183,18
184,3
185,18
186,1
187,6
188,2
189,15
190,6
191,19
192,2
193,15
194,3
195,18
196,3
197,15
198,18
199,11
200,14
201,18
202,12
203,16
204,15
205,8
206,14
207,15
208,13
209,14
210,1
211,15
212,1
213,4
214,6
215,12
216,18
217,1
218,8
219,4
220,12
221,15
222,12
223,14
224,10
225,4
226,6
227,19
228,17
229,14
230,19
231,9
232,15
233,10
234,16
235,5
236,5
237,4
238,1
239,1
240,18
241,11
242,7
243,13
244,17
245,2
246,18
247,15
248,13
249,15
250,6
251,11
252,12
253,8
254,13
255,14
256,4
257,3
258,19
259,15
260,19
261,19
262,14
263,18
264,17
265,8
266,11
267,18
268,6
269,10
270,13
271,8
272,13
273,12
274,15
275,10
276,15
277,1
278,8
279,15
280,18
281,7
282,14
283,3
284,13
285,17
286,10
287,15
288,3
289,13
290,6
291,11
292,17
293,15
294,4
295,19
296,3
297,13
298,13
299,1
300,12
301,19
302,15
303,10
304,12
305,13
306,17
307,8
308,14
309,4
310,9
311,12
312,19
313,8
314,15
315,16
316,9
317,8
318,9
319,10
320,15
321,14
322,15
323,13
324,5
325,7
326,14
327,19
328,18
329,19
330,1
331,8
332,10
333,17
334,18
335,12
336,19
337,15
338,10
339,15
340,3
341,19
342,13
343,8
344,14
345,3
346,12
347,1
348,19
349,14
350,10
351,2
352,9
353,6
354,18
355,10
356,6
357,12
358,5
359,10
360,14
361,6
362,10
363,9
364,9
365,3
366,12
367,6
368,6
369,19
370,3
371,14
372,15
373,18
374,2
375,15
376,19
377,6
378,12
379,19
380,12
381,13
382,12
383,8
384,15
385,15
386,13
387,10
388,19
389,10
390,8
391,6
392,18
393,5
394,2
395,8
396,11
397,1
398,12
399,8
400,5
401,12
402,2
403,15
404,12
405,6
406,3
407,14
408,4
409,19
410,14
411,4
412,13
413,14
414,19
415,18
416,1
417,7
418,13
419,9
420,9
421,3
422,6
423,9
424,9
425,8
426,11
427,19
428,1
429,14
430,8
431,13
432,14
433,15
434,11
435,15
436,8
437,1
438,6
439,13
440,9
441,19
442,4
443,13
444,5
445,3
446,13
447,13
448,3
449,3
450,10
451,13
452,5
453,15
454,9
455,18
456,6
457,18
458,19
459,15
460,15
461,9
462,4
463,14
464,10
465,15
466,8
467,13
468,19
469,15
470,15
471,14
472,10
473,1
474,6
475,3
476,8
477,12
478,3
479,1
480,18
481,6
482,18
483,9
484,6
485,6
486,18
487,18
488,3
489,19
490,3
491,11
492,3
493,15
494,19
495,9
496,19
497,15
498,14
499,16
500,10
501,9
502,9
503,10
504,15
505,16
506,3
507,16
508,8
509,18
510,19
511,3
512,3
513,13
514,1
515,3
516,1
517,19
518,1
519,8
520,16
521,14
522,6
523,7
524,9
525,13
526,11
527,12
528,6
529,15
530,8
531,1
532,12
533,14
534,11
535,10
536,11
537,1
538,3
539,9
540,8
541,14
542,14
543,18
544,15
545,10
546,13
547,13
548,4
549,13
550,19
551,19
552,15
553,14
554,9
555,4
556,6
557,4
558,12
559,18
560,9
561,13
562,14
563,18
564,10
565,2
566,14
567,11
568,2
569,12
570,8
571,10
572,5
573,16
574,15
575,6
576,18
577,4
578,4
579,9
580,18
581,8
582,7
583,1
584,16
585,6
586,7
587,10
588,1
589,3
590,8
591,13
592,11
593,18
594,12
595,19
596,8
597,14
598,5
599,9
600,13
601,5
602,1
603,18
604,18
605,6
606,10
607,18
608,14
